step,x,y,z
0,-8.0,8.0,27.0
1,-6.486401115057777,7.803176288945628,25.725523123015602
2,-5.138014715624083,7.562600181320734,24.608811388270777
3,-3.941502881523813,7.31300453681639,23.62892914683636
4,-2.882044830810717,7.078192432160237,22.76571132979455
5,-1.9443767014550732,6.873878018875749,22.00125081570464
6,-1.1134882585749213,6.709976912661288,21.320460745366614
7,-0.3750617711922587,6.592359391736833,20.71111587625309
8,0.28427485637498195,6.524146129775571,20.16363284471433
9,0.8768240734095015,6.50664138557118,19.67074565477643
10,1.41378131759721,6.53999064169926,19.22716400117552
11,1.9052534006132673,6.623633775268603,18.829259059407164
12,2.3603106398035716,6.756608198308004,18.474795859202697
13,2.787057284005476,6.937741935979084,18.162717001976095
14,3.1927094746802727,7.1657650854423265,17.89297491709659
15,3.5836732707174734,7.439359352693967,17.66640621093745
16,3.965617522841864,7.757158921270857,17.48464013948329
17,4.343537903782042,8.117711260688244,17.35003272311769
18,4.721809403438294,8.519403217874968,17.26561786052841
19,5.104225249740482,8.960355559201298,17.23506660608734
20,5.494020643705424,9.438287875462533,17.26264534718806
21,5.893880006713966,9.950355371281187,17.353162871614916
22,6.305926724010327,10.49295957447007,17.51189526551343
23,6.731694724429266,11.061536537928733,17.74447634626101
24,7.172081760916883,11.65032883393079,18.056740149259664
25,7.627285055278893,12.25215173003872,18.454501244776495
26,8.096721153251242,12.858169491748109,18.94325893922523
27,8.578933503930221,13.457704707067355,19.52781349922935
28,9.071493501273741,14.038111472547346,20.211787392576728
29,9.570903507225385,14.584751306980102,20.99705321089787
30,10.072513599160038,15.081117162955058,21.883083314997393
31,10.570467151942477,15.50915348496916,22.866254672203073
32,11.057693343681315,15.849815809674519,23.939165089994
33,11.525966468353884,16.083898555484513,25.090041629960968
34,11.966051530712463,16.193131713918845,26.302343750545095
35,12.367951901328462,16.161505535298275,27.554675828547524
36,12.721266949651532,15.9767301445139,28.821118045039075
37,13.015655296885454,15.631682485343394,30.072053978677324
38,13.241383432899502,15.125649180266505,31.275514515747744
39,13.38992204601157,14.46515658757842,32.398975227297065
40,13.454536890812637,13.664202276575256,33.41145194285904
41,13.430811377407373,12.743770930344546,34.28565867937467
42,13.317037859347023,11.730624813635655,34.99994772096984
43,13.114425635296302,10.655482908284425,35.53976187156158
44,12.827095054993206,9.550813153596902,35.89839791206009
45,12.461855071593517,8.44852940114603,36.07699438038104
46,12.027790388454353,7.377890883471663,36.083787742938284
47,11.535707997263128,6.3638476962325425,35.932795734897475
48,10.997506887499807,5.425979022427416,35.642158678325444
49,10.425537218429701,4.578059569182915,35.23238741866563
50,9.832007371121524,3.8281914864419337,34.72473518242215
51,9.228482262741258,3.179372540120261,34.13984709758439
52,8.625498206095184,2.6303427649410254,33.49676640919596
53,8.0323021839959,2.176556619315852,32.81230863845573
54,7.456709290463232,1.8111549038423744,32.10076510216926
55,6.90506249314599,1.5258481391198442,31.373868765972045
56,6.382273821860799,1.311660676393045,30.640946057487515
57,5.891924831798216,1.1595162282519884,29.909182725378994
58,5.436405625380806,1.060668108218436,29.183944212708894
59,5.017074734592015,1.0069912976099977,28.469106357498863
60,4.6344258475466065,0.9911600618334877,27.767367123184357
61,4.288251057283511,1.0067362889112317,27.080522607384577
62,3.9777936232793953,1.048191990253779,26.40970007722577
63,3.7018859797211667,1.1108860511311012,25.755547297449755
64,3.459070855280491,1.1910114305593777,25.118381416934813
65,3.2477049292899443,1.2855252471851597,24.4983027613256
66,3.0660455234815327,1.3920708880306305,23.895279627003973
67,2.9123215145043284,1.5088985651914995,23.309210073147845
68,2.7847900438086226,1.6347886196035462,22.739966135280074
69,2.6817807790854595,1.7689802646463666,22.187425095552502
70,2.601729510798343,1.9111072854727895,21.651491610261004
71,2.543202798951151,2.061141371150147,21.132113712639217
72,2.504915256532547,2.2193431744274887,20.629295029064597
73,2.4857408938233525,2.386220800430202,20.143104987786113
74,2.4847197703915973,2.5624951668840112,19.673688360178524
75,2.5010610212848863,2.7490715127083503,19.22127514382979
76,2.53414314816363,2.9470162268478926,18.786191558170113
77,2.5835122990073054,3.157538100310318,18.368872759240148
78,2.64887910320893,3.3819730522632874,17.96987777351947
79,2.7301144821954404,3.621771330262707,17.5899070857587
80,2.8272447176976447,3.878486122395343,17.229823278075706
81,2.940445927974328,4.153762434203039,16.890675093633202
82,3.0700379734381835,4.449324965742411,16.573725274478466
83,3.2164776834059494,4.766963564934325,16.280482484998775
84,3.3803511608152053,5.108514624354185,16.012737562957202
85,3.562364777131622,5.475836523204647,15.772604218365771
86,3.763334310654321,5.870776890478514,15.562564100093189
87,3.9841715036334024,6.295129080074013,15.38551583728549
88,4.225867113511921,6.750574812683325,15.244827194485623
89,4.489469309417935,7.238609474399396,15.144388802431745
90,4.776056018128161,7.760446110006698,15.088666976864134
91,5.086699560677227,8.3168937815499,15.082751842446662
92,5.422421656319728,8.908205794402773,15.132395262256516
93,5.784136631560331,9.533893496305902,15.244030868594086
94,6.172580502713237,10.192502177403988,15.424765763044205
95,6.588223568805918,10.881347378531391,15.682330236120935
96,7.031164355726094,11.596213082911188,16.024968307316637
97,7.501003326256743,12.33101833282395,16.461248365950564
98,7.996695885380711,13.077466306745146,16.999770365332633
99,8.516386067515063,13.824700235983654,17.64874496056936
100,9.057225100909559,14.559003823932136,18.41542224903414
101,9.61518297242333,15.263599471903959,19.305355423908527
102,10.184866209122415,15.918613900871948,20.32150003062019
103,10.759361155587408,16.501294361725986,21.46317475256757
104,11.330128470864478,16.986564283510553,22.72494571376536
